latitude,longitude,side_b
16.484722,97.625833,DKBA 5
16.686389,98.506111,DKBA 5
16.377338,97.733796,DKBA 5
15.833678,98.244408,DKBA 5
16.688302,98.323324,DKBA 5
17.133333,97.833333,DKBA 5
16.593758,98.228229,DKBA 5
16.688302,98.323324,DKBA 5
16.688302,98.323324,DKBA 5
22.000000,98.000000,ABSDF
22.000000,98.000000,ABSDF
22.000000,98.000000,ABSDF
22.000000,98.000000,ABSDF
25.616667,96.316667,ABSDF
24.215426,96.375620,ABSDF
24.196338,94.416816,ABSDF
24.215426,96.375620,ABSDF
24.215426,96.375620,ABSDF
24.215426,96.375620,ABSDF
22.279096,94.151406,ABSDF
24.288356,96.066824,ABSDF
23.127082,96.601751,ABSDF
24.326407,96.043771,ABSDF
21.941800,94.750050,ABSDF
24.235603,96.063987,ABSDF
22.636950,94.108970,ABSDF
24.344540,96.022880,ABSDF
22.022900,94.092060,ABSDF
20.866667,92.533333,RSO
20.816667,92.366667,RSO
20.816667,92.366667,RSO
19.000000,94.250000,RSO
20.922044,92.360793,RSO
20.875369,92.529996,RSO
22.000000,98.000000,RSO
20.816667,92.366667,RSO
20.816667,92.366667,RSO
22.000000,98.000000,RSO
20.671289,92.777714,RSO
20.816667,92.366667,RSO
22.000000,98.000000,RSO
20.816667,92.366667,RSO
21.060000,92.267000,RSO
20.922044,92.360793,RSO
15.301667,98.401944,NMSP
15.301667,98.401944,NMSP
15.249117,97.856653,NMSP
15.761408,97.851753,NMSP
22.000000,98.000000,NMSP
16.023264,97.737339,NMSP
16.250000,97.750000,NMSP
22.000000,98.000000,NMSP
14.107478,98.345385,NMSP
17.762026,97.741880,NMSP
16.250000,97.750000,BMA
24.783333,96.366667,KIO
22.000000,98.000000,KIO
22.000000,98.000000,KIO
22.000000,98.000000,KIO
22.000000,98.000000,KIO
22.942711,97.746222,KIO
26.000000,97.500000,KIO
22.000000,98.000000,KIO
22.000000,98.000000,KIO
23.979167,97.904722,KIO
23.457894,97.937993,KIO
22.000000,98.000000,KIO
26.000000,97.500000,KIO
24.260229,97.178824,KIO
25.195076,96.597658,KIO
25.195076,96.597658,KIO
25.195076,96.597658,KIO
22.000000,98.000000,KIO
24.260229,97.178824,KIO
24.260229,97.178824,KIO
25.785516,97.145268,KIO
24.260229,97.178824,KIO
24.260229,97.178824,KIO
24.260229,97.178824,KIO
24.260229,97.178824,KIO
26.000000,97.500000,KIO
25.195076,96.597658,KIO
25.523056,96.711667,KIO
25.195076,96.597658,KIO
26.000000,97.500000,KIO
25.195076,96.597658,KIO
25.195076,96.597658,KIO
24.878056,97.523889,KIO
24.260229,97.178824,KIO
22.000000,98.000000,KIO
25.035175,97.700333,KIO
23.688611,97.824722,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
24.260229,97.178824,KIO
24.260229,97.178824,KIO
24.260229,97.178824,KIO
25.785516,97.145268,KIO
26.000000,97.500000,KIO
24.260229,97.178824,KIO
26.000000,97.500000,KIO
24.260229,97.178824,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
22.000000,98.000000,KIO
22.000000,98.000000,KIO
25.383333,97.400000,KIO
22.000000,98.000000,KIO
24.260229,97.178824,KIO
24.760000,97.563333,KIO
22.000000,98.000000,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
25.616667,96.316667,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
23.456667,97.940278,KIO
24.099167,98.308611,KIO
25.383333,97.400000,KIO
26.000000,97.500000,KIO
22.000000,98.000000,KIO
23.092500,97.401111,KIO
26.000000,97.500000,KIO
22.000000,98.000000,KIO
23.979167,97.904722,KIO
23.979167,97.904722,KIO
23.457894,97.937993,KIO
26.000000,97.500000,KIO
26.000000,97.500000,KIO
24.260229,97.178824,KIO
24.979722,97.561389,KIO
25.785516,97.145268,KIO
25.600833,98.376667,KIO
26.000000,97.500000,KIO
25.785516,97.145268,KIO
26.000000,97.500000,KIO
22.000000,98.000000,KIO
25.600833,98.376667,KIO
22.000000,98.000000,KIO
22.000000,98.000000,KIO
22.000000,98.000000,KIO
26.000000,97.500000,KIO
22.000000,98.000000,KIO
22.000000,98.000000,KIO
22.000000,98.000000,KIO
24.979722,97.561389,KIO
25.195076,96.597658,KIO
25.195076,96.597658,KIO
25.195076,96.597658,KIO
26.000000,97.500000,KIO
25.616667,96.316667,KIO
26.000000,97.500000,KIO
25.616667,96.316667,KIO
22.000000,98.000000,KIO
22.000000,98.000000,KIO
