WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,MONTH,DAY
2021-05-15,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,11797.0,Political violence,2043,17.1075,95.1442,2021,5,15
2021-05-22,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,5,0,376607.0,Political violence,2043,17.1075,95.1442,2021,5,22
2021-05-29,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,14,0,863323.0,Political violence,2043,17.1075,95.1442,2021,5,29
2021-06-05,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,6,0,649017.0,Political violence,2043,17.1075,95.1442,2021,6,5
2021-06-12,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,3,0,81838.0,Political violence,2043,17.1075,95.1442,2021,6,12
2021-06-19,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,3,0,267733.0,Political violence,2043,17.1075,95.1442,2021,6,19
2021-06-26,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,5,0,343420.0,Political violence,2043,17.1075,95.1442,2021,6,26
2021-07-03,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,89249.0,Political violence,2043,17.1075,95.1442,2021,7,3
2021-07-10,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,89249.0,Political violence,2043,17.1075,95.1442,2021,7,10
2021-07-17,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,109017.0,Political violence,2043,17.1075,95.1442,2021,7,17
2021-07-24,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,3,0,297747.0,Political violence,2043,17.1075,95.1442,2021,7,24
2021-08-14,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,68154.0,Political violence,2043,17.1075,95.1442,2021,8,14
2021-08-21,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,208498.0,Political violence,2043,17.1075,95.1442,2021,8,21
2021-09-04,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,52477.0,Political violence,2043,17.1075,95.1442,2021,9,4
2021-09-18,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,4,0,76382.0,Political violence,2043,17.1075,95.1442,2021,9,18
2021-09-25,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,3,0,277238.0,Political violence,2043,17.1075,95.1442,2021,9,25
2021-10-02,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,8,0,769888.0,Political violence,2043,17.1075,95.1442,2021,10,2
2021-10-09,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,12,0,668028.0,Political violence,2043,17.1075,95.1442,2021,10,9
2021-10-16,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,4,0,292056.0,Political violence,2043,17.1075,95.1442,2021,10,16
2021-10-23,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,12,0,722169.0,Political violence,2043,17.1075,95.1442,2021,10,23
2021-10-30,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,9,2,230573.0,Political violence,2043,17.1075,95.1442,2021,10,30
2021-11-06,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,3,0,97200.0,Political violence,2043,17.1075,95.1442,2021,11,6
2021-11-13,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,63618.0,Political violence,2043,17.1075,95.1442,2021,11,13
2021-11-20,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,9420.0,Political violence,2043,17.1075,95.1442,2021,11,20
2021-12-04,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,113757.0,Political violence,2043,17.1075,95.1442,2021,12,4
2021-12-18,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,7439.0,Political violence,2043,17.1075,95.1442,2021,12,18
2021-12-25,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,54997.0,Political violence,2043,17.1075,95.1442,2021,12,25
2022-01-01,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,3,0,115242.0,Political violence,2043,17.1075,95.1442,2022,1,1
2022-01-08,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,269725.0,Political violence,2043,17.1075,95.1442,2022,1,8
2022-01-15,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,4,0,173700.0,Political violence,2043,17.1075,95.1442,2022,1,15
2022-01-22,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,28839.0,Political violence,2043,17.1075,95.1442,2022,1,22
2022-01-29,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,3,1,237018.0,Political violence,2043,17.1075,95.1442,2022,1,29
2022-02-05,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,6,1,468479.0,Political violence,2043,17.1075,95.1442,2022,2,5
2022-02-12,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,53335.0,Political violence,2043,17.1075,95.1442,2022,2,12
2022-02-26,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,139299.0,Political violence,2043,17.1075,95.1442,2022,2,26
2022-03-12,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,71709.0,Political violence,2043,17.1075,95.1442,2022,3,12
2022-03-26,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,5,0,122487.0,Political violence,2043,17.1075,95.1442,2022,3,26
2022-04-02,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,94791.0,Political violence,2043,17.1075,95.1442,2022,4,2
2022-04-09,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,4,0,451883.0,Political violence,2043,17.1075,95.1442,2022,4,9
2022-04-16,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,6,0,396029.0,Political violence,2043,17.1075,95.1442,2022,4,16
